Instrument,Sector,Angle,Location,Number
TS-1701,Sector#1,0,0,1
TS-1702,Sector#1,171.7974,0.18,2
TS-1703,Sector#1,154.3453,0.32,5
TS-1705,Sector#1,185.5919,0.365,7
TS-1707,Sector#1,196.8117,0.475,9
TS-1709,Sector#1,170.9945,0.6,13
TS-1710,Sector#1,180.0331,0.85,18
TS-1711,Sector#1,200.6635,0.275,3
TS-1712,Sector#1,190.9288,0.522,12
TS-1713,Sector#1,189.6157145,0.673,15
TS-1714,Sector#1,180,0.673,16
TS-1715,Sector#1,170.3842855,0.673,17
TS-1716,Sector#2,51.7974,0.18,2
TS-1717,Sector#2,34.3453,0.32,5
TS-1719,Sector#2,65.5919,0.365,7
TS-1721,Sector#2,76.8117,0.475,9
TS-1723,Sector#2,50.9945,0.6,13
TS-1724,Sector#2,60.0331,0.85,18
TS-1725,Sector#2,80.6635,0.275,3
TS-1726,Sector#2,70.9288,0.522,12
TS-1727,Sector#2,69.616,0.673,15
TS-1728,Sector#2,60,0.673,16
TS-1729,Sector#2,50.384,0.673,17
TS-1730,Sector#3,351.7974,0.18,2
TS-1731,Sector#3,334.3453,0.32,5
TS-1733,Sector#3,5.5919,0.365,7
TS-1735,Sector#3,16.8117,0.475,9
TS-1737,Sector#3,350.9945,0.6,13
TS-1738,Sector#3,0.0331,0.85,18
TS-1739,Sector#3,20.6635,0.275,3
TS-1740,Sector#3,10.9288,0.522,12
TS-1741,Sector#3,9.615714521,0.673,15
TS-1742,Sector#3,0,0.673,16
TS-1743,Sector#3,350.3842855,0.673,17
