Instrument,Sector,Angle,Location,Number
TS-1301,Sector#1,0,0,1
TS-1302,Sector#1,171.7974,0.18,2
TS-1303,Sector#1,154.3453,0.32,5
TS-1305,Sector#1,185.5919,0.365,7
TS-1307,Sector#1,196.8117,0.475,9
TS-1309,Sector#1,170.9945,0.6,13
TS-1310,Sector#1,180.0331,0.85,18
TS-1311,Sector#1,200.6635,0.275,3
TS-1312,Sector#1,190.9288,0.522,12
TS-1313,Sector#1,189.6157145,0.673,15
TS-1314,Sector#1,180,0.673,16
TS-1315,Sector#1,170.3842855,0.673,17
TS-1316,Sector#2,51.7974,0.18,2
TS-1317,Sector#2,34.3453,0.32,5
TS-1319,Sector#2,65.5919,0.365,7
TS-1321,Sector#2,76.8117,0.475,9
TS-1323,Sector#2,50.9945,0.6,13
TS-1324,Sector#2,60.0331,0.85,18
TS-1325,Sector#2,80.6635,0.275,3
TS-1326,Sector#2,70.9288,0.522,12
TS-1327,Sector#2,69.616,0.673,15
TS-1328,Sector#2,60,0.673,16
TS-1329,Sector#2,50.384,0.673,17
TS-1330,Sector#3,-8.2026,0.18,2
TS-1331,Sector#3,-25.6547,0.32,5
TS-1333,Sector#3,5.5919,0.365,7
TS-1335,Sector#3,16.8117,0.475,9
TS-1337,Sector#3,-9.0055,0.6,13
TS-1338,Sector#3,0.0331,0.85,18
TS-1339,Sector#3,20.6635,0.275,3
TS-1340,Sector#3,10.9288,0.522,12
TS-1341,Sector#3,9.615714521,0.673,15
TS-1342,Sector#3,0,0.673,16
TS-1343,Sector#3,-9.615714521,0.673,17
