Instrument,Sector,Angle,Location,Number
TS-1501,Sector#1,0,0,1
TS-1502,Sector#1,171.7974,0.18,2
TS-1503,Sector#1,154.3453,0.32,5
TF-1504,Sector#1,156.035,0.338,6
TS-1505,Sector#1,185.5919,0.365,7
TF-1506,Sector#1,184.35,0.383,8
TS-1507,Sector#1,196.8117,0.475,9
TF-1508,Sector#1,195.124,0.493,10
TS-1509,Sector#1,170.9945,0.6,13
TS-1510,Sector#1,180.0331,0.85,18
TS-1511,Sector#1,200.6635,0.275,3
TS-1512,Sector#1,190.9288,0.522,12
TS-1513,Sector#1,189.6157145,0.673,15
TS-1514,Sector#1,180,0.673,16
TS-1515,Sector#1,170.3842855,0.673,17
TS-1516,Sector#2,51.7974,0.18,2
TS-1517,Sector#2,34.3453,0.32,5
TF-1518,Sector#2,36.035,0.338,6
TS-1519,Sector#2,65.5919,0.365,7
TF-1520,Sector#2,64.35,0.383,8
TS-1521,Sector#2,76.8117,0.475,9
TF-1522,Sector#2,75.124,0.493,10
TS-1523,Sector#2,50.9945,0.6,13
TS-1524,Sector#2,60.0331,0.85,18
TS-1525,Sector#2,80.6635,0.275,3
TS-1526,Sector#2,70.9288,0.522,12
TS-1527,Sector#2,69.616,0.673,15
TS-1528,Sector#2,60,0.673,16
TS-1529,Sector#2,50.384,0.673,17
TS-1530,Sector#3,-8.2026,0.18,2
TS-1531,Sector#3,-25.6547,0.32,5
TF-1532,Sector#3,-23.965,0.338,6
TS-1533,Sector#3,5.5919,0.365,7
TF-1534,Sector#3,4.35,0.383,8
TS-1535,Sector#3,16.8117,0.475,9
TF-1536,Sector#3,15.124,0.493,10
TS-1537,Sector#3,-9.0055,0.6,13
TS-1538,Sector#3,0.0331,0.85,18
TS-1539,Sector#3,20.6635,0.275,3
TS-1540,Sector#3,10.9288,0.522,12
TS-1541,Sector#3,9.615714521,0.673,15
TS-1542,Sector#3,0,0.673,16
TS-1543,Sector#3,-9.615714521,0.673,17
